Pfam,Protein (Uniprot ID),Description,Most similar Binding-compound Tanimoto Similarity,Domain-binding similar ligands
PF01180,Q02127,"PYRD_HUMAN Dihydroorotate dehydrogenase (quinone), mitochondrial ",0.77,"CE9, N8E"
PF01180,Q12882,DPYD_HUMAN Dihydropyrimidine dehydrogenase [NADP(+)] ,0.77,"CE9, N8E"
PF00135,O00748,EST2_HUMAN Cocaine esterase ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q6P093,ADCL2_HUMAN Arylacetamide deacetylase-like 2 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q8NFZ3,"NLGNY_HUMAN Neuroligin-4, Y-linked ",0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P06276,CHLE_HUMAN Cholinesterase ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P22760,AAAD_HUMAN Arylacetamide deacetylase ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q6NT32,EST5A_HUMAN Carboxylesterase 5A ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P22303,ACES_HUMAN Acetylcholinesterase ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q8NFZ4,NLGN2_HUMAN Neuroligin-2 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P23141,EST1_HUMAN Liver carboxylesterase 1 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q9UKY3,CES1P_HUMAN Putative inactive carboxylesterase 4 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q5XG92,EST4A_HUMAN Carboxylesterase 4A ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q9NZ94,NLGN3_HUMAN Neuroligin-3 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q8N0W4,"NLGNX_HUMAN Neuroligin-4, X-linked ",0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q6UWW8,EST3_HUMAN Carboxylesterase 3 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P01266,THYG_HUMAN Thyroglobulin ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,P19835,CEL_HUMAN Bile salt-activated lipase ,0.57,"CHEMBL449475, CHEMBL421992"
PF00135,Q8N2Q7,NLGN1_HUMAN Neuroligin-1 ,0.57,"CHEMBL449475, CHEMBL421992"
PF00001,P08908,5HT1A_HUMAN 5-hydroxytryptamine receptor 1A ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,P0C629,O10J4_HUMAN Olfactory receptor 10J4 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q15615,OR4D1_HUMAN Olfactory receptor 4D1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGF4,O5AP2_HUMAN Olfactory receptor 5AP2 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGL1,OR5DI_HUMAN Olfactory receptor 5D18 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
PF00001,Q8NGU1,OR9A1_HUMAN Olfactory receptor 9A1 ,0.53,"CHEMBL450007, CHEMBL60403, CHEMBL361255, CHEMBL187711, CHEMBL187633, CHEMBL187795, CHEMBL191365, CHEMBL189296, CHEMBL2335052, CHEMBL2335048, CHEMBL2335047"
